"TIER","STATE","STATE_FIPS","COUNTY","COUNTY_FIPS","POLLUTANT","POLLUTANT TYPE","EMISSIONS","UNIT OF MEASURE"
"Highway Vehicles","RI","44","Newport","005","PM10 Primary (Filt + Cond)","CAP","45.1655594827","TON"
"Off-Highway","RI","44","Newport","005","PM10 Primary (Filt + Cond)","CAP","44.078667649193","TON"
"Highway Vehicles","RI","44","Providence","007","Sulfur Dioxide","CAP","43.5438709183","TON"
"Highway Vehicles","RI","44","Kent","003","PM2.5 Primary (Filt + Cond)","CAP","42.12007615002","TON"
"Off-Highway","RI","44","Newport","005","PM2.5 Primary (Filt + Cond)","CAP","41.667673625768","TON"
"Miscellaneous","RI","44","Newport","005","Ammonia","CAP","41.5892299","TON"
"Highway Vehicles","RI","44","Kent","003","Ammonia","CAP","41.39516393953","TON"
"Storage & Transport","RI","44","Newport","005","Volatile Organic Compounds","CAP","41.23526048","TON"
"Off-Highway","RI","44","Kent","003","PM10 Primary (Filt + Cond)","CAP","41.008179035676","TON"
"Storage & Transport","RI","44","Providence","007","Carbon Monoxide","CAP","40.556635","TON"
"Fuel Comb. Elec. Util.","RI","44","Providence","007","Sulfur Dioxide","CAP","40.18266","TON"
"Off-Highway","RI","44","Kent","003","PM2.5 Primary (Filt + Cond)","CAP","38.621133696876","TON"
"Chemical & Allied Product Mfg","RI","44","Kent","003","Volatile Organic Compounds","CAP","38.316805","TON"
"Other Industrial Processes","RI","44","Bristol","001","Volatile Organic Compounds","CAP","35.33417106","TON"
"Fuel Comb. Other","RI","44","Bristol","001","PM10 Primary (Filt + Cond)","CAP","33.5701785011","TON"
"Fuel Comb. Other","RI","44","Bristol","001","Volatile Organic Compounds","CAP","33.189954417","TON"
"Fuel Comb. Other","RI","44","Bristol","001","PM2.5 Primary (Filt + Cond)","CAP","32.6178808141","TON"
"Highway Vehicles","RI","44","Washington","009","PM2.5 Primary (Filt + Cond)","CAP","32.536101972","TON"
"Other Industrial Processes","RI","44","Providence","007","Nitrogen Oxides","CAP","32.255261","TON"
"Waste Disposal & Recycling","RI","44","Newport","005","PM10 Primary (Filt + Cond)","CAP","30.710926","TON"
"Petroleum & Related Industries","RI","44","Kent","003","Carbon Monoxide","CAP","30.685345","TON"
"Fuel Comb. Industrial","RI","44","Providence","007","PM10 Primary (Filt + Cond)","CAP","30.4655367","TON"
"Fuel Comb. Other","RI","44","Washington","009","Ammonia","CAP","29.705101816","TON"
"Fuel Comb. Industrial","RI","44","Washington","009","Volatile Organic Compounds","CAP","29.68581518","TON"
"Fuel Comb. Industrial","RI","44","Newport","005","Nitrogen Oxides","CAP","29.543904","TON"
"Highway Vehicles","RI","44","Washington","009","Ammonia","CAP","29.23913311606","TON"
"Waste Disposal & Recycling","RI","44","Newport","005","PM2.5 Primary (Filt + Cond)","CAP","27.9634544","TON"
"Miscellaneous","RI","44","Kent","003","Carbon Monoxide","CAP","27.60323266132","TON"
"Fuel Comb. Industrial","RI","44","Providence","007","PM2.5 Primary (Filt + Cond)","CAP","27.5300134789","TON"
"Natural Resources","RI","44","Newport","005","Nitrogen Oxides","CAP","27.5211","TON"
"Natural Resources","RI","44","Kent","003","Nitrogen Oxides","CAP","27.44354","TON"
"Fuel Comb. Elec. Util.","RI","44","Newport","005","Carbon Monoxide","CAP","27.44","TON"
"Other Industrial Processes","RI","44","Bristol","001","PM10 Primary (Filt + Cond)","CAP","25.9506859","TON"
"Miscellaneous","RI","44","Washington","009","Volatile Organic Compounds","CAP","25.775607484038","TON"
"Other Industrial Processes","RI","44","Bristol","001","Carbon Monoxide","CAP","24.9107715","TON"
"Waste Disposal & Recycling","RI","44","Washington","009","Nitrogen Oxides","CAP","24.5581672","TON"
"Other Industrial Processes","RI","44","Bristol","001","PM2.5 Primary (Filt + Cond)","CAP","23.7241206","TON"
"Highway Vehicles","RI","44","Bristol","001","PM10 Primary (Filt + Cond)","CAP","23.0296387774","TON"
"Waste Disposal & Recycling","RI","44","Providence","007","Ammonia","CAP","22.610436","TON"
"Other Industrial Processes","RI","44","Washington","009","Volatile Organic Compounds","CAP","22.49868604","TON"
"Miscellaneous","RI","44","Kent","003","Ammonia","CAP","21.4939001","TON"
"Petroleum & Related Industries","RI","44","Providence","007","Nitrogen Oxides","CAP","21.196785","TON"
"Other Industrial Processes","RI","44","Kent","003","Volatile Organic Compounds","CAP","20.38354283","TON"
"Miscellaneous","RI","44","Bristol","001","PM2.5 Primary (Filt + Cond)","CAP","20.229156045145","TON"
"Fuel Comb. Industrial","RI","44","Providence","007","Volatile Organic Compounds","CAP","20.0285196","TON"
"Fuel Comb. Other","RI","44","Kent","003","Lead","CAP/HAP","19.56910090896","LB"
"Fuel Comb. Elec. Util.","RI","44","Newport","005","PM10 Primary (Filt + Cond)","CAP","18.87","TON"
