"TIER","STATE","STATE_FIPS","COUNTY","COUNTY_FIPS","POLLUTANT","POLLUTANT TYPE","EMISSIONS","UNIT OF MEASURE"
"Off-Highway","CT","09","Tolland","013","Sulfur Dioxide","CAP",".7210529311605","TON"
"Miscellaneous","CT","09","Middlesex","007","Lead","CAP/HAP",".71501173114","LB"
"Waste Disposal & Recycling","CT","09","Windham","015","Nitrogen Oxides","CAP",".7010426","TON"
"Waste Disposal & Recycling","CT","09","Tolland","013","Nitrogen Oxides","CAP",".694012","TON"
"Miscellaneous","CT","09","Hartford","003","Sulfur Dioxide","CAP",".59342875535","TON"
"Storage & Transport","CT","09","New London","011","PM2.5 Primary (Filt + Cond)","CAP",".52571935","TON"
"Storage & Transport","CT","09","New London","011","PM10 Primary (Filt + Cond)","CAP",".52571935","TON"
"Storage & Transport","CT","09","Hartford","003","Lead","CAP/HAP",".518470868","LB"
"Miscellaneous","CT","09","Tolland","013","Lead","CAP/HAP",".5022953045","LB"
"Miscellaneous","CT","09","Windham","015","Lead","CAP/HAP",".48296232458","LB"
"Off-Highway","CT","09","Tolland","013","Ammonia","CAP",".4675610484449","TON"
"Storage & Transport","CT","09","Fairfield","001","Lead","CAP/HAP",".443456576","LB"
"Off-Highway","CT","09","Windham","015","Ammonia","CAP",".4058723881432","TON"
"Storage & Transport","CT","09","New Haven","009","Lead","CAP/HAP",".36915046","LB"
"Waste Disposal & Recycling","CT","09","Litchfield","005","Ammonia","CAP",".327691","TON"
"Other Industrial Processes","CT","09","New Haven","009","Ammonia","CAP",".309","TON"
"Solvent Utilization","CT","09","Hartford","003","Lead","CAP/HAP",".2690017807","LB"
"Petroleum & Related Industries","CT","09","Fairfield","001","PM2.5 Primary (Filt + Cond)","CAP",".2651625","TON"
"Petroleum & Related Industries","CT","09","Fairfield","001","PM10 Primary (Filt + Cond)","CAP",".2651625","TON"
"Waste Disposal & Recycling","CT","09","Windham","015","Ammonia","CAP",".254683","TON"
"Fuel Comb. Elec. Util.","CT","09","Hartford","003","Lead","CAP/HAP",".2461431631","LB"
"Waste Disposal & Recycling","CT","09","Tolland","013","Ammonia","CAP",".210743","TON"
"Other Industrial Processes","CT","09","Tolland","013","Lead","CAP/HAP",".21","LB"
"Storage & Transport","CT","09","Windham","015","Lead","CAP/HAP",".198775298","LB"
"Solvent Utilization","CT","09","Fairfield","001","PM2.5 Primary (Filt + Cond)","CAP",".189293924185","TON"
"Solvent Utilization","CT","09","Fairfield","001","PM10 Primary (Filt + Cond)","CAP",".189293924185","TON"
"Storage & Transport","CT","09","New London","011","Lead","CAP/HAP",".183755358","LB"
"Fuel Comb. Elec. Util.","CT","09","Litchfield","005","Lead","CAP/HAP",".1801903","LB"
"Storage & Transport","CT","09","Tolland","013","Lead","CAP/HAP",".133652044","LB"
"Waste Disposal & Recycling","CT","09","Litchfield","005","Sulfur Dioxide","CAP",".1147938","TON"
"Storage & Transport","CT","09","Litchfield","005","Lead","CAP/HAP",".091632078","LB"
"Waste Disposal & Recycling","CT","09","Windham","015","Sulfur Dioxide","CAP",".08593425","TON"
"Storage & Transport","CT","09","Middlesex","007","Lead","CAP/HAP",".085844818","LB"
"Waste Disposal & Recycling","CT","09","Tolland","013","Sulfur Dioxide","CAP",".08507244","TON"
"Waste Disposal & Recycling","CT","09","Middlesex","007","Sulfur Dioxide","CAP",".07823976","TON"
"Solvent Utilization","CT","09","Middlesex","007","Lead","CAP/HAP",".077437","LB"
"Waste Disposal & Recycling","CT","09","Middlesex","007","Lead","CAP/HAP",".05849688","LB"
