"TIER","STATE","STATE_FIPS","COUNTY","COUNTY_FIPS","POLLUTANT","POLLUTANT TYPE","EMISSIONS","UNIT OF MEASURE"
"Solvent Utilization","MA","25","Berkshire","003","PM10 Primary (Filt + Cond)","CAP",".1258239","TON"
"Solvent Utilization","MA","25","Berkshire","003","PM2.5 Primary (Filt + Cond)","CAP",".1258239","TON"
"Solvent Utilization","MA","25","Berkshire","003","Nitrogen Oxides","CAP",".1248239","TON"
"Petroleum & Related Industries","MA","25","Dukes","007","PM2.5 Primary (Filt + Cond)","CAP",".123","TON"
"Petroleum & Related Industries","MA","25","Dukes","007","PM10 Primary (Filt + Cond)","CAP",".123","TON"
"Other Industrial Processes","MA","25","Dukes","007","Nitrogen Oxides","CAP",".1155989","TON"
"Miscellaneous","MA","25","Hampshire","015","Sulfur Dioxide","CAP",".11162174618","TON"
"Other Industrial Processes","MA","25","Barnstable","001","Lead","CAP/HAP",".1","LB"
"Solvent Utilization","MA","25","Hampshire","015","PM2.5 Primary (Filt + Cond)","CAP",".09570463","TON"
"Solvent Utilization","MA","25","Hampshire","015","PM10 Primary (Filt + Cond)","CAP",".09570463","TON"
"Solvent Utilization","MA","25","Hampshire","015","Nitrogen Oxides","CAP",".09520463","TON"
"Storage & Transport","MA","25","Hampshire","015","Ammonia","CAP",".0952","TON"
"Petroleum & Related Industries","MA","25","Nantucket","019","Volatile Organic Compounds","CAP",".0937","TON"
"Solvent Utilization","MA","25","Berkshire","003","Sulfur Dioxide","CAP",".09153749","TON"
"Chemical & Allied Product Mfg","MA","25","Bristol","005","PM10 Primary (Filt + Cond)","CAP",".091","TON"
"Chemical & Allied Product Mfg","MA","25","Bristol","005","PM2.5 Primary (Filt + Cond)","CAP",".091","TON"
"Fuel Comb. Elec. Util.","MA","25","Berkshire","003","Volatile Organic Compounds","CAP",".0755","TON"
"Fuel Comb. Elec. Util.","MA","25","Franklin","011","Volatile Organic Compounds","CAP",".0731","TON"
"Other Industrial Processes","MA","25","Berkshire","003","Sulfur Dioxide","CAP",".0726","TON"
"Other Industrial Processes","MA","25","Nantucket","019","Nitrogen Oxides","CAP",".0705851","TON"
"Solvent Utilization","MA","25","Hampshire","015","Sulfur Dioxide","CAP",".06981673","TON"
"Solvent Utilization","MA","25","Hampshire","015","Ammonia","CAP",".0687","TON"
"Solvent Utilization","MA","25","Essex","009","Ammonia","CAP",".0616","TON"
"Storage & Transport","MA","25","Bristol","005","Ammonia","CAP",".0614","TON"
"Fuel Comb. Elec. Util.","MA","25","Franklin","011","Sulfur Dioxide","CAP",".0613","TON"
"Fuel Comb. Elec. Util.","MA","25","Berkshire","003","PM10 Primary (Filt + Cond)","CAP",".059536052","TON"
"Fuel Comb. Elec. Util.","MA","25","Berkshire","003","Sulfur Dioxide","CAP",".0558","TON"
"Metals Processing","MA","25","Norfolk","021","Carbon Monoxide","CAP",".055","TON"
"Miscellaneous","MA","25","Dukes","007","Lead","CAP/HAP",".050671797626","LB"
"Petroleum & Related Industries","MA","25","Franklin","011","Nitrogen Oxides","CAP",".05","TON"
"Waste Disposal & Recycling","MA","25","Nantucket","019","Ammonia","CAP",".0463905","TON"
"Fuel Comb. Elec. Util.","MA","25","Nantucket","019","Carbon Monoxide","CAP",".0449","TON"
"Fuel Comb. Elec. Util.","MA","25","Hampshire","015","Volatile Organic Compounds","CAP",".0418","TON"
"Metals Processing","MA","25","Worcester","027","Volatile Organic Compounds","CAP",".041","TON"
"Chemical & Allied Product Mfg","MA","25","Hampden","013","Nitrogen Oxides","CAP",".04","TON"
"Solvent Utilization","MA","25","Bristol","005","Ammonia","CAP",".0357","TON"
"Fuel Comb. Elec. Util.","MA","25","Franklin","011","PM10 Primary (Filt + Cond)","CAP",".0335002","TON"
"Fuel Comb. Elec. Util.","MA","25","Berkshire","003","PM2.5 Primary (Filt + Cond)","CAP",".033136052","TON"
"Fuel Comb. Elec. Util.","MA","25","Franklin","011","PM2.5 Primary (Filt + Cond)","CAP",".0329002","TON"
"Chemical & Allied Product Mfg","MA","25","Hampden","013","Carbon Monoxide","CAP",".03","TON"
"Petroleum & Related Industries","MA","25","Worcester","027","Ammonia","CAP",".03","TON"
"Solvent Utilization","MA","25","Nantucket","019","Carbon Monoxide","CAP",".02820878","TON"
"Storage & Transport","MA","25","Suffolk","025","PM2.5 Primary (Filt + Cond)","CAP",".027","TON"
"Fuel Comb. Elec. Util.","MA","25","Hampshire","015","PM10 Primary (Filt + Cond)","CAP",".0264","TON"
"Fuel Comb. Elec. Util.","MA","25","Hampshire","015","PM2.5 Primary (Filt + Cond)","CAP",".0264","TON"
"Miscellaneous","MA","25","Nantucket","019","Nitrogen Oxides","CAP",".025860912923","TON"
"Metals Processing","MA","25","Worcester","027","Ammonia","CAP",".024","TON"
"Other Industrial Processes","MA","25","Hampshire","015","Lead","CAP/HAP",".02","LB"
"Petroleum & Related Industries","MA","25","Franklin","011","Carbon Monoxide","CAP",".02","TON"
"Petroleum & Related Industries","MA","25","Suffolk","025","Sulfur Dioxide","CAP",".02","TON"
"Other Industrial Processes","MA","25","Essex","009","Lead","CAP/HAP",".019","LB"
"Fuel Comb. Elec. Util.","MA","25","Hampshire","015","Sulfur Dioxide","CAP",".0178","TON"
"Metals Processing","MA","25","Middlesex","017","Carbon Monoxide","CAP",".0176","TON"
"Fuel Comb. Elec. Util.","MA","25","Nantucket","019","Volatile Organic Compounds","CAP",".0169","TON"
"Miscellaneous","MA","25","Nantucket","019","Lead","CAP/HAP",".016363460156","LB"
"Metals Processing","MA","25","Norfolk","021","Sulfur Dioxide","CAP",".016","TON"
"Petroleum & Related Industries","MA","25","Barnstable","001","Sulfur Dioxide","CAP",".0143","TON"
