"TIER","STATE","STATE_FIPS","COUNTY","COUNTY_FIPS","POLLUTANT","POLLUTANT TYPE","EMISSIONS","UNIT OF MEASURE"
"Fuel Comb. Other","ME","23","Aroostook","003","Sulfur Dioxide","CAP","74.743026886","TON"
"Natural Resources","ME","23","Waldo","027","Nitrogen Oxides","CAP","73.20464","TON"
"Other Industrial Processes","ME","23","Somerset","025","PM2.5 Primary (Filt + Cond)","CAP","72.4352911","TON"
"Natural Resources","ME","23","Androscoggin","001","Nitrogen Oxides","CAP","72.05634","TON"
"Waste Disposal & Recycling","ME","23","Franklin","007","PM2.5 Primary (Filt + Cond)","CAP","70.824146","TON"
"Fuel Comb. Elec. Util.","ME","23","Aroostook","003","Ammonia","CAP","70.53841","TON"
"Storage & Transport","ME","23","Aroostook","003","Volatile Organic Compounds","CAP","70.366032176","TON"
"Fuel Comb. Industrial","ME","23","York","031","Volatile Organic Compounds","CAP","70.086189582","TON"
"Fuel Comb. Other","ME","23","York","031","Ammonia","CAP","69.54644203","TON"
"Other Industrial Processes","ME","23","Androscoggin","001","PM2.5 Primary (Filt + Cond)","CAP","69.1449207036","TON"
"Waste Disposal & Recycling","ME","23","Oxford","017","Volatile Organic Compounds","CAP","69.073173","TON"
"Highway Vehicles","ME","23","Aroostook","003","PM10 Primary (Filt + Cond)","CAP","69.0679549765","TON"
"Waste Disposal & Recycling","ME","23","Sagadahoc","023","PM10 Primary (Filt + Cond)","CAP","68.884874","TON"
"Other Industrial Processes","ME","23","Penobscot","019","Carbon Monoxide","CAP","68.499149","TON"
"Highway Vehicles","ME","23","York","031","Ammonia","CAP","68.46015332074","TON"
"Waste Disposal & Recycling","ME","23","Washington","029","PM10 Primary (Filt + Cond)","CAP","68.371324","TON"
"Fuel Comb. Industrial","ME","23","Aroostook","003","Lead","CAP/HAP","68.020714542","LB"
"Other Industrial Processes","ME","23","Penobscot","019","PM2.5 Primary (Filt + Cond)","CAP","67.8654769","TON"
"Off-Highway","ME","23","York","031","PM10 Primary (Filt + Cond)","CAP","66.816611526897","TON"
